No.,What is your nationality? ,What is your gender?,What is your age group?,Who are you traveling with?,How much do you spend on your accommodation per night?,How many days are you staying in Cambodia?,Importance [Cultural Heritage],Importance [Food],Importance [Locals/Lifestyle],Importance [Safety],Importance [Value for money],Importance [Scenery],Cambodia [Cultural Heritage],Cambodia [Food],Cambodia [Locals/Lifestyle],Cambodia [Safety],Cambodia [Value for money],Cambodia [Scenery],Thailand [Cultural Heritage],Thailand [Food],Thailand [Locals/Lifestyle],Thailand [Safety],Thailand [Value for money],Thailand [Scenery],Vietnam [Cultural Heritage],Vietnam [Food],Vietnam [Locals/Lifestyle],Vietnam [Safety],Vietnam [Value for money],Vietnam [Scenery],Is this your first time traveling to Cambodia?,"On a scale of 0-10, 0 = Not at all, 10 = Definitely.
How likely are you going to recommend Cambodia as a travel destination to other travelers?","On a scale of 0-10, 0 = Not at all, 10 = Definitely.
How likely do you think you will choose Cambodia as your travel destination again?",Has your perception of Cambodia before and since arriving in Cambodia changed?,How has it changed? Please elaborate.,What factor(s) have contributed to this change in perception?,What factor(s) do you think are better compared to your previous visit(s)?,Feel free to elaborate (optional)
11,Canadian,Female,30 - 40,Family,$0 - $30,More than 4 days,7,9,9,10,8,10,10,8,6,5,8,9,5,7,10,9,6,8,7,8,9,8,10,9,No,,,,,,"Food, Locals/Lifestyle, Safety",
12,British,Male,20 - 30,Family,$0 - $30,More than 4 days,9,10,5,10,7,8,9,7,9,8,9,7,6,8,9,10,9,8,8,9,9,8,10,9,Yes,10,7,Yes,Good food and more safe to travel,Safety and local,,
13,British,Female,40 - 50,Family,$0 - $30,More than 4 days,10,10,9,10,9,10,9,9,9,8,10,7,10,8,9,9,7,7,9,7,10,9,10,8,Yes,9,9,Yes,More than expected about food and culture,Might come to Cambodia again in the next year in summer,,
14,British,Male,40 - 50,Family,$0 - $30,More than 4 days,9,9,8,10,8,8,10,9,9,7,9,8,5,9,8,8,10,10,8,10,9,8,10,8,No,,,,,,"Safety, Scenery",Cambodia's gotten way better at dealing with trash and littering.
15,British,Female,0 - 20,Family,$0 - $30,More than 4 days,7,10,8,9,9,9,10,9,8,7,9,9,6,7,8,7,10,9,8,10,8,9,10,9,No,,,,,,"Food, Safety",The view is lovely here in siemreap
16,French,Male,30 - 40,Partner,$30 - $50,More than 4 days,8,10,10,10,9,10,9,10,10,,,,,,,8,7,8,9,6,8,8,10,9,No,,,,,,"Food, Locals/Lifestyle, Safety",
17,French,Female,30 - 40,Partner,$30 - $50,More than 4 days,10,10,10,9,8,10,10,9,8,,,,,,,9,8,8,9,8,9,8,10,9,No,,,,,,"Cultural Heritage, Locals/Lifestyle, Safety",Good scenery
18,French,Male,20 - 30,Solo travelers,$0 - $30,More than 4 days,10,9,8,10,9,10,1,1,1,,,,,,,,,,,,,7,10,9,Yes,9,9,Yes,"Safety, good food and easy to travel ",Safety,,
19,French,Male,20 - 30,Friend(s),$0 - $30,More than 4 days,9,10,9,10,8,10,8,10,10,9,9,8,,,,,,,,,,8,10,9,Yes,9,9,No,Better food and safety,Feel safe to walk around at night and more choices of food to choose,,
20,French,Male,20 - 30,Friend(s),$0 - $30,More than 4 days,7,9,9,9,9,8,10,9,9,,,,,,,,,,,,,8,9,8,Yes,10,8,Yes,"Back when I was in Marseille, I always wanted to visit Cambodia to see angkor wat. But now I could see that, the people are so polite and the food here is very diverse.",People,,
21,French,Male,20 - 30,Friend(s),$0 - $30,More than 4 days,9,9,9,9,8,9,10,9,10,,,,,,,,,,,,,8,9,8,No,,,,,,"Locals/Lifestyle, Safety",The people here are very nice
22,French,Female,30 - 40,Partner,$0 - $30,More than 4 days,8,8,8,9,9,8,9,8,6,8,9,9,9,8,9,,,,,,,8,8,9,Yes,8,5,Yes,Easier to travel and more safe,Food and culture,,
23,French,Female,30 - 40,Partner,$0 - $30,More than 4 days,8,10,8,10,7,9,10,10,9,8,9,7,6,8,8,,,,,,,9,10,8,Yes,10,10,Yes,The temples are more beautiful than expected,Scenery,,
24,American,Male,20 - 30,Solo travelers,$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",8,10,10,10,10,8,10,9,9,7,10,8,7,9,8,8,10,10,8,10,7,9,9,8,Yes,10,10,Yes,The community here is so welcoming,The people,,
25,American,Male,0 - 20,Solo travelers,$50 - $70,More than 4 days,10,9,5,10,6,9,9,9,7,8,9,9,8,8,8,9,8,9,9,8,9,9,9,8,No,,,,,,"Food, Safety, Scenery",
26,American,Male,30 - 40,Solo travelers,$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",8,8,10,9,9,9,10,9,9,,,,,,,8,10,9,8,9,8,9,9,8,No,,,,,,"Cultural Heritage, Food, Locals/Lifestyle, Safety, Scenery","Everything has gotten alot better, but food prices are higher than I remembered."
27,American,Male,20 - 30,Friend(s),$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",9,10,10,10,10,10,10,9,7,,,,,,,,,,,,,9,10,8,Yes,10,8,Yes,Food is good and safe in city,I will come again,,
28,American,Male,30 - 40,Friend(s),$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",7,9,9,10,9,9,10,9,9,,,,,,,,,,,,,8,10,8,Yes,10,10,Yes,The temples are way more majestic than it seemed,Surroundings,,
29,Canadian,Female,40 - 50,Partner,$30 - $50,More than 4 days,9,10,8,10,10,10,8,9,8,,,,,,,,,,,,,7,8,9,Yes,8,8,Yes,Scenery is good for taking pictures,.,,
30,American,Female,30 - 40,Partner,$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",9,9,9,10,9,9,10,9,9,,,,,,,,,,,,,9,9,9,Yes,10,10,Yes,"The vibe, locals is great.",Travelling around Siemreap,,
31,British,Male,50+,Partner,$30 - $50,More than 4 days,8,10,10,10,7,9,10,9,9,8,8,8,6,9,8,8,10,10,8,10,8,9,10,9,No,,,,,,"Locals/Lifestyle, Safety",
32,British,Female,40 - 50,Partner,$30 - $50,More than 4 days,9,8,9,10,8,9,9,9,9,8,8,7,7,9,8,9,9,9,8,9,7,8,9,8,No,,,,,,"Locals/Lifestyle, Safety, Scenery",Cambodia's very clean now
33,American,Male,30 - 40,Friend(s),$0 - $30,More than 4 days,8,10,8,10,10,10,9,10,7,,,,,,,8,7,7,10,7,10,,,,Yes,9,9,Yes,It’s becoming more safety,Nothing,,
34,American,Male,30 - 40,Friend(s),$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",8,10,9,10,8,8,10,8,8,,,,,,,,,,8,9,8,8,9,8,Yes,9,9,No,"My perception of Cambodia was already great, due to my friends who have been here.",Nothing,,
35,American,Male,30 - 40,Friend(s),$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",9,10,9,10,8,10,8,8,7,,,,,,,8,7,7,9,5,8,7,9,8,Yes,7,7,Yes,Good scenery,Nothing,,
36,American,Male,30 - 40,Friend(s),$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",9,8,8,10,8,10,10,9,10,8,9,7,7,8,8,9,10,9,8,9,9,9,9,8,No,,,,,,"Cultural Heritage, Locals/Lifestyle, Safety, Scenery",The people here are very welcoming
37,British,Male,20 - 30,Friend(s),$0 - $30,More than 4 days,7,9,9,9,8,8,8,8,8,7,9,7,6,7,8,,,,,,,8,8,7,Yes,10,10,Yes,"The scenery, here is a lot more rustic and natural than expected.","A lot actually, but the biggest factor is of course the view here. ",,
38,British,Male,30 - 40,Friend(s),$0 - $30,More than 4 days,8,9,9,10,8,8,9,8,9,8,9,8,7,8,7,,,,,,,8,9,9,No,,,,,,"Safety, Scenery","Walking in Phnom Penh now, feels very secure and safe."
39,American,Male,40 - 50,Family,$0 - $30,More than 4 days,7,9,9,10,8,8,9,9,9,7,9,8,7,8,8,,,,8,9,8,8,8,8,No,,,,,,Safety,
40,American,Female,0 - 20,Family,$0 - $30,More than 4 days,8,9,7,9,8,8,9,9,9,,,,,,,7,9,9,8,9,8,9,8,9,No,,,,,,"Food, Safety, Scenery",
41,American,Female,20 - 30,Friend(s),$30 - $50,More than 4 days,8,9,8,10,8,9,9,9,9,8,9,8,7,8,8,7,9,9,9,9,8,8,9,9,Yes,10,10,Yes,The accomodation here is better than expected,Accomodation,,
42,American,Female,20 - 30,Friend(s),$30 - $50,More than 4 days,8,9,9,9,9,9,10,8,9,8,10,8,8,9,9,9,9,9,9,9,9,9,9,9,Yes,10,10,Yes,"After having toured Pnom Penh and Siemreap, I must say everything is cleaner than expected.","Garbage, littering.",,
43,American,Female,30 - 40,Friend(s),$30 - $50,More than 4 days,8,9,9,10,9,9,10,9,9,8,9,9,8,9,8,8,10,9,9,10,8,9,9,9,Yes,10,10,Yes,"The service here is impeccable, they are lovely and quite fast",Service in general,,
44,French,Male,30 - 40,Partner,$0 - $30,More than 4 days,8,9,9,9,9,9,10,9,9,8,9,8,8,8,9,8,10,9,8,9,8,9,9,9,No,,,,,,Safety,
45,French,Female,20 - 30,Partner,$0 - $30,More than 4 days,8,9,7,9,9,9,9,9,8,8,9,6,7,9,8,7,10,9,8,9,9,9,8,9,No,,,,,,"Locals/Lifestyle, Safety",Locals here are alot nicer than other SEA countries.
46,American,Male,30 - 40,Solo travelers,$0 - $30,"Less than 4 days (If less than 4 days in ""other"")",8,8,8,9,9,8,9,10,9,8,9,9,8,8,9,8,10,9,8,10,8,9,9,9,No,,,,,,"Safety, Scenery",Streets are clean now.💪
47,American,Male,40 - 50,Co-worker,$70 - $90,"Less than 4 days (If less than 4 days in ""other"")",8,10,9,10,7,9,10,9,8,8,9,7,7,9,9,9,9,9,8,10,9,9,9,9,No,,,,,,"Food, Locals/Lifestyle, Safety, Scenery",
48,American,Male,40 - 50,Family,$30 - $50,More than 4 days,6,5,6,9,7,7,8,7,7,6,8,5,7,6,6,6,9,7,7,8,8,8,7,8,Yes,10,9,Yes,Everything here is alot better than what I expected it to be like.,"Many things, but if I had to pick, it would be due to the locals living here.",,
49,American,Male,20 - 30,Family,$30 - $50,More than 4 days,7,7,7,10,7,8,9,8,7,7,8,6,7,6,7,7,9,7,8,8,8,7,7,9,Yes,10,10,Yes,"The service of everything, here is immaculate. People here are super friendly and easy going.",Service,,
50,French,Male,20 - 30,Partner,$0 - $30,More than 4 days,8,9,7,8,7,8,9,8,9,7,7,7,6,8,7,7,8,8,8,8,8,8,8,8,No,,,,,,"Safety, Scenery",
51,American,Male,50+,Solo travelers,$0 - $30,More than 4 days,8,9,7,8,7,8,9,9,9,7,8,8,7,8,7,8,9,7,8,8,8,8,9,8,No,,,,,,"Locals/Lifestyle, Safety, Scenery",
52,American,Female,40 - 50,Partner,$30 - $50,More than 4 days,9,8,7,8,8,8,9,8,8,7,8,8,7,8,8,8,9,7,9,9,7,9,8,9,Yes,9,9,Yes,"Cambodia has always been a great travel destination for me and my husband. Now, after traveling around Cambodia's ancient temples and country side, I must say the natural beauty is beyond expectations.","Nature, mountains, temples and of course the lovely locals here.",,
53,American,Male,50+,Partner,$30 - $50,More than 4 days,8,9,9,8,7,7,9,9,9,8,8,8,8,8,8,8,9,7,8,8,9,8,8,8,Yes,10,9,Yes,Did not expect Angkor Wat and Cambodia's landscape to be that good looking.,Scenery/Natural Landscapes,,
54,British,Male,30 - 40,Friend(s),$30 - $50,More than 4 days,9,10,8,10,10,10,9,8,7,8,10,9,10,9,9,,,,,,,9,10,9,Yes,10,10,No,.,.,,
55,British,Male,40 - 50,Friend(s),$30 - $50,More than 4 days,10,10,10,10,10,10,10,9,7,,,,,,,,,,,,,10,10,10,Yes,10,8,Yes,Safer and better scenery than expected,.,,
56,British,Male,30 - 40,Friend(s),$30 - $50,More than 4 days,9,10,8,10,8,9,8,9,7,,,,,,,,,,,,,8,9,9,Yes,8,8,Yes,Food is good and Cambodian people are friendly,About to come again next year,,
57,French,Female,40 - 50,Partner,$30 - $50,More than 4 days,9,10,7,10,10,10,9,9,7,,,,,,,,,,,,,8,10,9,Yes,8,8,Yes,Good food and safety,…..,,
58,French,Male,40 - 50,Partner,$30 - $50,More than 4 days,8,10,8,10,8,9,9,8,7,,,,,,,,,,,,,7,10,9,Yes,8,8,Yes,Very beautiful scenery,I don’t know,,
59,Canadian,Male,20 - 30,Solo travelers,$0 - $30,More than 4 days,6,7,7,9,7,8,8,9,8,8,7,8,8,6,8,8,8,8,8,9,7,8,8,9,Yes,8,8,Yes,I'd say the streets are safer than expected.,Overall Safety,,
60,British,Male,20 - 30,Friend(s),$0 - $30,More than 4 days,9,8,8,9,9,9,9,9,8,7,9,8,7,9,8,7,10,7,8,9,7,8,8,9,No,,,,,,"Safety, Value for money, Scenery",Trash is being handled better than it was before it seems.
61,British,Male,20 - 30,Friend(s),$30 - $50,More than 4 days,7,7,7,9,7,7,8,9,9,7,8,7,8,8,7,9,8,8,7,8,7,9,8,9,Yes,9,9,Yes,"I love Cambodia's night life. The lights, the people, and the alcohol prices is just phenomenal.",Being constantly drunk.,,
62,British,Male,20 - 30,Friend(s),$30 - $50,More than 4 days,8,8,8,9,7,9,10,9,9,8,9,9,7,9,8,7,9,9,8,9,9,10,9,9,Yes,10,10,Yes,Cambodian food is quite diverse and great.,Food,,
63,Canadian,Male,20 - 30,Family,$70 - $90,4 days,10,8,7,10,9,10,7,6,6,7,9,9,9,9,9,9,9,9,7,9,6,9,9,8,Yes,8,6,Yes,beautiful place,scenery and safety,,
64,American,Male,40 - 50,Partner,$70 - $90,More than 4 days,10,10,10,10,8,10,10,6,5,7,6,6,7,7,6,7,6,6,8,7,5,6,10,7,Yes,9,8,Yes,better then expected,safety  view,,
65,French,Male,20 - 30,Friend(s),$50 - $70,"Less than 4 days (If less than 4 days in ""other"")",10,10,10,10,10,10,7,6,5,9,10,9,9,9,9,8,9,9,9,9,9,9,9,10,Yes,9,9,Yes,better expected about the country,feel safe and local is nice,,
66,French,Female,30 - 40,Partner,$70 - $90,4 days,10,10,9,10,10,10,9,8,8,9,8,9,9,10,9,8,8,9,8,8,8,8,8,9,Yes,10,9,No,awesomee place to explore,walk safe at night,,
67,French,Male,20 - 30,Partner,$70 - $90,More than 4 days,10,10,9,8,7,8,7,7,6,5,6,4,8,7,7,6,6,6,7,8,8,5,7,9,No,,,,,,Safety,safer then last time and more convenient
68,British,Male,40 - 50,Family,$0 - $30,More than 4 days,7,8,8,9,7,9,9,8,8,7,8,8,7,8,7,8,10,8,7,9,8,8,8,9,Yes,9,9,Yes,My overall perception of Cambodia and Cambodia's has become much more positive. I didn’t realize how warm and welcoming the people are until I came here.,Interacting with locals and just walking around sight seeing.,,
69,American,Female,0 - 20,Family,$0 - $30,More than 4 days,9,9,9,9,8,9,,,,8,9,9,7,8,9,8,8,8,7,9,9,9,8,9,Yes,10,10,Yes,"I was concerned it might be hard to get around cambodia, but transportation was cheap and easier to use than I expected.",Using travelling services and riding tuks tuks,,
70,American,Female,40 - 50,Family,$0 - $30,More than 4 days,8,9,8,9,7,8,8,9,9,7,8,8,8,6,7,7,9,8,8,9,8,8,8,8,Yes,9,10,Yes,I was surprised by how easy and enjoyable it was to travel Cambodia with my husband and daughter. Everywhere felt safe and welcoming.,"Locals were so friendly, and our daughter loved exploring the temples. In general, my family had a great time travelling here.",,
71,American,Male,40 - 50,Family,$0 - $30,More than 4 days,9,9,9,9,7,7,9,9,8,8,9,8,7,8,8,7,8,8,8,9,8,8,8,9,Yes,9,9,Yes,"Expected Cambodia to be very touristy country, but oh boy was I wrong. "," Temple visits, boat rides along the river, and meaningful conversations with Cambodians really changed my perception of Cambodia..",,
72,British,Male,50+,Solo travelers,$0 - $30,More than 4 days,7,9,7,9,8,8,9,9,9,8,9,7,8,8,8,8,9,8,7,9,7,9,9,8,No,,,,,,"Food, Locals/Lifestyle, Safety",The nightlife and beer prices are better than other Asian countries I visited.
73,French,Female,30 - 40,Partner,$50 - $70,More than 4 days,9,9,9,9,7,9,9,9,9,8,8,8,8,9,8,8,9,8,8,9,9,9,8,9,No,,,,,,"Food, Safety, Scenery",
74,French,Male,30 - 40,Partner,$50 - $70,More than 4 days,7,8,8,9,7,7,9,8,8,8,8,8,6,8,7,8,8,8,7,8,8,9,9,8,No,,,,,,"Food, Safety, Scenery",Good quality bistros and restaurants are everywhere now
75,British,Male,30 - 40,Solo travelers,$0 - $30,More than 4 days,6,8,7,9,7,7,9,8,9,8,8,8,7,8,8,7,9,8,8,8,8,8,8,8,No,,,,,,Safety,Walking around in night markets and drinking at night has gotten a lot safer.
76,French,Male,30 - 40,Partner,$50 - $70,More than 4 days,8,9,9,8,8,8,9,9,9,8,7,8,7,8,8,8,8,8,8,8,9,8,8,8,Yes,10,10,Yes,Did not expect Cambodia's food to be this diverse,Food Cuisine,,
77,French,Female,20 - 30,Partner,$50 - $70,More than 4 days,7,9,9,10,8,8,8,9,9,7,9,8,8,8,8,7,9,9,8,8,8,8,8,9,No,,,,,,"Safety, Scenery",
78,British,Male,40 - 50,Solo travelers,$0 - $30,More than 4 days,6,7,7,9,7,7,9,9,8,8,9,8,7,8,8,7,9,9,8,8,8,9,9,8,No,,,,,,"Safety, Scenery",
79,American,Male,20 - 30,Friend(s),$0 - $30,More than 4 days,8,9,9,9,9,7,9,9,9,8,8,8,8,8,8,7,8,8,8,8,8,8,9,8,Yes,9,9,Yes,Really impressed by how clean the cities and tourist spots were.,"Streets, temples, Royal Palace",,
80,British,Female,40 - 50,Partner,$50 - $70,"Less than 4 days (If less than 4 days in ""other"")",9,9,9,10,7,9,10,8,8,7,7,8,5,8,8,8,8,7,7,7,9,7,8,9,Yes,8,8,Yes,"Food was great, the hotel I stayed in was fantastic and the people here is very lovely.",Cambodia as a whole was the biggest factor really.,,
81,British,Male,50+,Partner,$50 - $70,More than 4 days,9,9,9,9,6,9,10,8,7,7,8,8,6,8,8,8,9,9,8,8,9,8,8,8,Yes,10,10,Yes,"Unlike Vietnam and Thailand, Cambodia has its own unique vibe. Where the country has a deep sense of ancient history and peaceful feeling that I really felt when travelling here with my wife.",Sightseeing how cambodians live in the countryside and exploring Cambodia's ancient temples,,
82,American,Female,30 - 40,Family,$30 - $50,More than 4 days,6,9,9,10,7,8,8,9,9,7,9,8,8,9,9,5,9,7,8,8,8,8,8,9,Yes,8,8,Yes,"There were way more fun activities to do here than I expected. Ex: River Boat Rides, Ancient Temples, Viewing Cambodia's country side....and a lot more.",Travelling around the country and staying with Cambodian friends.,,
83,American,Female,20 - 30,Family,$30 - $50,More than 4 days,7,8,8,9,7,9,8,9,10,7,9,8,8,8,8,7,9,7,8,8,9,8,8,7,Yes,9,9,Yes,"I've never visited a country where people were so welcoming and friendly . Everywhere I went people were super helpful in giving me directions to places, and where I should eat at. I will definitely be looking forward to traveling here again ☺️.",People,,
84,British,Male,50+,Solo travelers,$50 - $70,More than 4 days,7,8,8,8,8,8,8,8,8,7,7,8,8,7,8,7,9,7,8,8,7,7,7,8,No,,,,,,Food,
85,British,Male,30 - 40,Friend(s),$0 - $30,More than 4 days,8,9,9,9,9,9,9,9,9,8,9,9,7,7,8,8,9,8,8,9,8,8,8,8,No,,,,,,"Food, Safety, Scenery",
